STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
TX,Texas,36498,37679,39326,40838,38891
IA,Iowa,46203,42614,42351,40325,38910
WI,Wisconsin,28947,30226,35634,37660,38965
KS,Kansas,37916,35568,38242,39134,38972
WV,West Virginia,46021,41636,42903,42481,38982
MN,Minnesota,27839,28674,32821,36009,39006
OK,Oklahoma,32261,33366,38369,41259,39046
AR,Arkansas,48573,46719,45629,41639,39054
MO,Missouri,20414,23753,31045,36202,39085
NC,North Carolina,29164,30180,35623,39464,39097
WY,Wyoming,38992,33662,35804,40123,39234
TN,Tennessee,34923,35079,39854,40716,39272
OK,Oklahoma,30749,33828,38972,42391,39281
ID,Idaho,28749,30617,34935,37244,39517
ME,Maine,28414,33018,36280,38786,39607
FL,Florida,18599,25773,36210,39140,39619
FL,Florida,20264,29627,35910,39996,39644
IN,Indiana,27276,29890,34325,39364,39654
LA,Louisiana,41393,39159,41481,42073,39693
MI,Michigan,36961,37308,40553,42798,39714
PA,Pennsylvania,33584,36680,37546,39702,39736
MO,Missouri,28807,31447,37238,40400,39750
GA,Georgia,19685,26147,36506,39628,39973
MN,Minnesota,40390,37385,38603,39163,40029
IA,Iowa,41652,38276,39311,40648,40105
MS,Mississippi,36173,36882,38940,40404,40324
NY,New York,38496,41846,44171,42883,40343
NM,New Mexico,29282,34365,41190,40246,40363
OH,Ohio,40076,40029,40985,41428,40364
OK,Oklahoma,23946,28070,37077,41487,40397
VA,Virginia,50511,45960,44598,45078,40429
PA,Pennsylvania,50635,47131,45936,43450,40432
IN,Indiana,25550,29477,34909,37128,40446
CA,California,19314,30039,35100,38091,40474
WV,West Virginia,57863,47952,47579,46039,40488
NY,New York,39895,42507,43424,42155,40531
NC,North Carolina,28462,31298,34897,40661,40568
